,match_id,radiant_team,dire_team
0,8601156710,"[75, 74, 73, 7, 86]","[92, 91, 45, 83, 53]"
1,8601155611,"[53, 55, 11, 109, 14]","[41, 27, 21, 18, 129]"
2,8601151259,"[12, 10, 64, 110, 128]","[39, 14, 72, 59, 91]"
3,8601150068,"[36, 77, 87, 22, 89]","[120, 102, 101, 8, 94]"
4,8601149825,"[85, 93, 62, 44, 101]","[120, 22, 53, 63, 54]"
5,8601140632,"[64, 12, 74, 129, 101]","[35, 67, 88, 14, 99]"
6,8601140542,"[64, 44, 145, 30, 22]","[39, 105, 14, 97, 48]"
7,8601140352,"[36, 12, 14, 56, 92]","[65, 113, 1, 119, 25]"
8,8601140055,"[111, 85, 7, 93, 36]","[49, 39, 65, 94, 64]"
9,8601140024,"[53, 84, 81, 6, 11]","[8, 19, 40, 47, 14]"
10,8601139525,"[47, 109, 123, 17, 51]","[53, 11, 75, 42, 137]"
11,8601136683,"[55, 22, 27, 121, 14]","[8, 101, 30, 28, 100]"
12,8601136343,"[70, 110, 89, 106, 30]","[128, 98, 53, 26, 8]"
13,8601136245,"[54, 47, 7, 61, 40]","[71, 111, 19, 107, 63]"
14,8601136201,"[54, 40, 113, 20, 65]","[27, 74, 1, 110, 120]"
15,8601136126,"[75, 129, 36, 44, 5]","[86, 26, 45, 73, 98]"
16,8601136011,"[72, 105, 26, 16, 17]","[135, 7, 59, 21, 40]"
17,8601135949,"[47, 1, 11, 13, 64]","[86, 100, 92, 36, 49]"
18,8601135775,"[75, 114, 17, 66, 59]","[5, 112, 99, 52, 1]"
19,8601135626,"[42, 123, 100, 37, 26]","[34, 21, 138, 6, 5]"
20,8601135599,"[75, 54, 13, 26, 104]","[2, 1, 5, 11, 63]"
21,8601135574,"[21, 26, 71, 49, 8]","[10, 100, 63, 74, 1]"
22,8601135390,"[13, 53, 26, 98, 110]","[27, 8, 40, 2, 14]"
23,8601135167,"[47, 54, 63, 64, 97]","[72, 123, 53, 98, 91]"
24,8601135112,"[48, 11, 105, 20, 100]","[71, 7, 30, 94, 57]"
25,8601135060,"[36, 31, 93, 7, 129]","[123, 75, 56, 29, 84]"
26,8601135046,"[6, 101, 136, 64, 71]","[26, 70, 40, 135, 45]"
27,8601134909,"[145, 59, 75, 18, 136]","[28, 50, 12, 93, 11]"
28,8601134560,"[129, 40, 48, 74, 86]","[87, 110, 36, 2, 21]"
29,8601132470,"[135, 46, 85, 128, 101]","[29, 8, 64, 35, 37]"
30,8601132440,"[70, 39, 30, 101, 60]","[2, 102, 14, 26, 52]"
31,8601132239,"[30, 59, 95, 105, 38]","[135, 46, 40, 145, 111]"
32,8601132015,"[111, 65, 106, 98, 72]","[86, 63, 114, 129, 14]"
33,8601131984,"[84, 98, 38, 14, 107]","[31, 53, 44, 2, 100]"
34,8601131980,"[39, 87, 7, 102, 109]","[62, 136, 49, 101, 50]"
35,8601131850,"[46, 64, 105, 83, 10]","[128, 110, 104, 51, 53]"
36,8601131847,"[36, 72, 114, 45, 30]","[104, 112, 138, 21, 70]"
37,8601131729,"[53, 51, 19, 7, 54]","[49, 43, 30, 2, 110]"
38,8601131708,"[50, 10, 38, 52, 123]","[28, 46, 5, 74, 7]"
39,8601131587,"[53, 49, 63, 17, 51]","[98, 28, 95, 27, 128]"
40,8601131572,"[93, 31, 106, 71, 102]","[6, 88, 14, 22, 27]"
41,8601131553,"[74, 104, 109, 27, 21]","[86, 97, 59, 11, 42]"
42,8601131524,"[135, 48, 31, 62, 14]","[84, 10, 103, 96, 74]"
43,8601131426,"[112, 29, 8, 31, 34]","[26, 14, 76, 28, 110]"
44,8601131180,"[10, 31, 36, 98, 14]","[114, 39, 70, 89, 91]"
45,8601131162,"[7, 53, 101, 145, 98]","[41, 84, 47, 28, 14]"
46,8601131017,"[6, 33, 34, 39, 14]","[49, 29, 126, 35, 27]"
47,8601130995,"[30, 85, 70, 97, 101]","[71, 102, 54, 40, 35]"
48,8601130981,"[5, 70, 71, 98, 13]","[46, 40, 111, 39, 69]"
49,8601130972,"[22, 2, 48, 37, 14]","[68, 59, 8, 81, 35]"
50,8601130854,"[91, 52, 4, 7, 79]","[61, 47, 105, 46, 48]"
51,8601130728,"[40, 44, 15, 106, 53]","[97, 8, 101, 13, 21]"
52,8601130671,"[97, 34, 135, 12, 45]","[59, 126, 20, 22, 8]"
53,8601130495,"[37, 67, 7, 135, 21]","[35, 96, 101, 3, 11]"
54,8601130448,"[98, 69, 101, 7, 102]","[64, 104, 39, 5, 21]"
55,8601130414,"[64, 59, 8, 86, 36]","[40, 6, 41, 49, 39]"
56,8601130400,"[10, 128, 85, 28, 53]","[40, 14, 44, 136, 31]"
57,8601130313,"[31, 72, 79, 2, 13]","[43, 21, 54, 137, 107]"
58,8601130159,"[73, 79, 92, 61, 14]","[100, 72, 106, 55, 32]"
59,8601130133,"[86, 8, 65, 27, 96]","[53, 75, 28, 126, 39]"
60,8601130008,"[135, 17, 62, 18, 86]","[30, 40, 39, 53, 6]"
61,8601129966,"[41, 35, 40, 26, 38]","[97, 21, 13, 52, 135]"
62,8601129919,"[47, 128, 11, 87, 49]","[12, 39, 45, 40, 98]"
63,8601129916,"[98, 41, 53, 68, 21]","[64, 11, 63, 12, 135]"
64,8601129830,"[44, 107, 19, 99, 9]","[104, 36, 105, 18, 51]"
65,8601129822,"[71, 27, 76, 8, 104]","[40, 12, 128, 64, 108]"
66,8601129817,"[1, 26, 14, 39, 97]","[8, 37, 11, 136, 88]"
67,8601129598,"[50, 60, 46, 128, 1]","[63, 123, 22, 4, 23]"
68,8601129567,"[2, 41, 74, 30, 71]","[87, 39, 8, 31, 98]"
69,8601129538,"[17, 104, 121, 14, 101]","[72, 53, 7, 38, 39]"
70,8601129523,"[26, 72, 103, 52, 29]","[21, 10, 35, 5, 129]"
71,8601125876,"[68, 102, 98, 123, 39]","[26, 2, 40, 8, 126]"
72,8601125854,"[72, 28, 60, 87, 128]","[81, 25, 76, 90, 102]"
73,8601125846,"[39, 54, 31, 87, 49]","[60, 73, 41, 128, 106]"
74,8601125803,"[53, 60, 88, 85, 36]","[17, 67, 79, 98, 63]"
75,8601125772,"[121, 70, 120, 28, 65]","[52, 53, 96, 14, 84]"
76,8601125710,"[11, 62, 48, 25, 36]","[7, 64, 5, 58, 113]"
77,8601125701,"[105, 7, 49, 12, 111]","[84, 59, 72, 129, 53]"
78,8601125689,"[62, 6, 13, 69, 64]","[82, 67, 87, 105, 14]"
79,8601125684,"[21, 91, 109, 84, 39]","[86, 46, 58, 85, 13]"
80,8601125556,"[119, 102, 145, 113, 49]","[45, 96, 54, 28, 88]"
81,8601125462,"[120, 106, 1, 50, 62]","[137, 126, 30, 86, 70]"
82,8601125458,"[129, 49, 45, 68, 81]","[58, 88, 12, 53, 7]"
83,8601125432,"[70, 112, 20, 21, 114]","[8, 131, 30, 28, 36]"
84,8601125379,"[70, 105, 104, 89, 17]","[107, 98, 72, 86, 40]"
85,8601125254,"[95, 98, 14, 2, 129]","[47, 72, 31, 28, 123]"
86,8601125173,"[14, 109, 123, 135, 63]","[28, 138, 12, 26, 65]"
87,8601125129,"[111, 101, 39, 7, 1]","[11, 40, 60, 100, 109]"
88,8601125035,"[8, 21, 79, 28, 25]","[27, 97, 7, 53, 39]"
89,8601125011,"[56, 84, 28, 86, 64]","[129, 14, 6, 39, 85]"
90,8601124938,"[1, 53, 15, 51, 74]","[8, 40, 131, 26, 21]"
91,8601124751,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
92,8601124734,"[138, 69, 37, 35, 84]","[73, 40, 74, 26, 21]"
93,8601124695,"[46, 82, 64, 98, 9]","[101, 26, 6, 137, 86]"
94,8601124599,"[49, 17, 101, 137, 27]","[28, 40, 114, 87, 96]"
95,8601124582,"[10, 38, 36, 79, 26]","[128, 74, 20, 70, 92]"
96,8601124510,"[74, 8, 31, 87, 2]","[94, 22, 104, 37, 86]"
97,8601124479,"[97, 96, 15, 88, 105]","[101, 138, 10, 75, 87]"
98,8601124473,"[109, 87, 36, 60, 31]","[136, 12, 98, 52, 30]"
99,8601124269,"[72, 49, 101, 16, 71]","[83, 17, 43, 93, 62]"
0,8601124237,"[96, 52, 53, 101, 5]","[31, 72, 14, 13, 4]"
1,8601124208,"[110, 59, 50, 52, 73]","[8, 86, 45, 47, 120]"
2,8601124196,"[71, 64, 53, 101, 97]","[75, 102, 123, 95, 13]"
3,8601124182,"[87, 101, 17, 1, 81]","[8, 75, 48, 136, 128]"
4,8601124111,"[39, 67, 2, 72, 26]","[7, 14, 53, 15, 101]"
5,8601124090,"[35, 102, 128, 91, 14]","[103, 2, 131, 10, 76]"
6,8601124073,"[72, 88, 101, 27, 77]","[39, 41, 78, 113, 86]"
7,8601123997,"[70, 109, 104, 74, 22]","[7, 36, 1, 30, 129]"
8,8601123974,"[22, 95, 27, 135, 40]","[28, 65, 120, 8, 119]"
9,8601123860,"[28, 30, 86, 74, 70]","[14, 8, 64, 91, 21]"
10,8601123709,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
11,8601123703,"[17, 121, 126, 37, 41]","[63, 98, 128, 59, 46]"
12,8601123649,"[40, 86, 31, 49, 136]","[94, 131, 101, 109, 110]"
13,8601123624,"[64, 2, 106, 71, 8]","[128, 98, 53, 86, 76]"
14,8601123567,"[8, 45, 40, 2, 52]","[71, 128, 12, 34, 60]"
15,8601123496,"[8, 53, 36, 30, 71]","[31, 6, 106, 101, 2]"
16,8601123421,"[5, 9, 145, 7, 19]","[104, 35, 14, 22, 49]"
17,8601123372,"[35, 77, 12, 26, 14]","[40, 4, 37, 7, 27]"
18,8601123354,"[28, 121, 17, 1, 105]","[70, 113, 11, 129, 111]"
19,8601123298,"[70, 79, 94, 52, 84]","[36, 101, 49, 13, 40]"
20,8601123254,"[64, 52, 84, 72, 128]","[100, 126, 31, 11, 20]"
21,8601123235,"[72, 87, 14, 2, 28]","[74, 128, 129, 101, 6]"
22,8601123162,"[21, 14, 128, 30, 2]","[114, 129, 22, 50, 59]"
23,8601123152,"[49, 19, 9, 40, 17]","[53, 68, 10, 14, 28]"
24,8601123081,"[74, 41, 88, 21, 87]","[102, 49, 5, 2, 128]"
25,8601123066,"[62, 38, 49, 31, 86]","[14, 56, 29, 21, 39]"
26,8601123030,"[59, 60, 128, 40, 74]","[95, 63, 7, 14, 37]"
27,8601122998,"[51, 31, 52, 96, 72]","[94, 82, 86, 65, 2]"
28,8601122869,"[27, 21, 13, 54, 120]","[128, 39, 109, 98, 61]"
29,8601122847,"[27, 6, 51, 7, 26]","[86, 8, 98, 5, 73]"
30,8601122827,"[82, 20, 85, 6, 107]","[35, 137, 128, 84, 67]"
31,8601122806,"[73, 114, 87, 21, 49]","[10, 98, 26, 86, 14]"
32,8601122784,"[38, 137, 5, 12, 21]","[39, 52, 8, 27, 7]"
33,8601122636,"[64, 84, 86, 74, 42]","[131, 12, 2, 11, 26]"
34,8601122503,"[126, 87, 2, 53, 114]","[7, 26, 41, 31, 74]"
35,8601122491,"[45, 28, 100, 129, 11]","[93, 7, 110, 84, 52]"
36,8601122411,"[8, 98, 59, 21, 53]","[72, 71, 11, 26, 16]"
37,8601122388,"[7, 129, 87, 1, 13]","[12, 52, 75, 71, 51]"
38,8601122276,"[41, 31, 107, 67, 35]","[86, 75, 47, 113, 129]"
39,8601122240,"[136, 128, 111, 46, 98]","[129, 113, 87, 109, 79]"
40,8601122215,"[39, 110, 112, 6, 7]","[69, 79, 15, 84, 11]"
41,8601122150,"[87, 1, 34, 12, 103]","[111, 22, 129, 71, 70]"
42,8601122073,"[96, 39, 75, 8, 2]","[26, 47, 113, 64, 99]"
43,8601122061,"[65, 88, 35, 21, 44]","[129, 71, 48, 84, 87]"
44,8601122023,"[22, 8, 37, 59, 21]","[6, 85, 2, 17, 75]"
45,8601122014,"[17, 14, 64, 2, 1]","[74, 54, 28, 26, 22]"
46,8601121968,"[27, 11, 71, 38, 25]","[52, 3, 64, 6, 29]"
47,8601121953,"[79, 104, 87, 74, 46]","[26, 16, 8, 52, 84]"
48,8601121929,"[86, 27, 96, 15, 56]","[14, 97, 114, 72, 31]"
49,8601121823,"[28, 94, 5, 75, 22]","[101, 59, 111, 56, 110]"
50,8601121816,"[69, 44, 30, 57, 23]","[10, 88, 36, 72, 14]"
51,8601121797,"[26, 28, 136, 88, 63]","[145, 110, 36, 12, 93]"
52,8601121729,"[104, 27, 35, 54, 98]","[109, 113, 129, 25, 53]"
53,8601121484,"[39, 63, 59, 90, 17]","[102, 40, 85, 86, 97]"
54,8601121407,"[62, 2, 101, 1, 25]","[14, 48, 59, 111, 34]"
55,8601121267,"[14, 58, 86, 136, 93]","[87, 13, 70, 38, 53]"
56,8601121258,"[75, 34, 64, 49, 53]","[99, 21, 57, 8, 59]"
57,8601121066,"[64, 26, 67, 62, 39]","[70, 3, 2, 51, 136]"
58,8601120994,"[64, 7, 11, 53, 136]","[41, 128, 98, 74, 110]"
59,8601120981,"[90, 53, 107, 29, 45]","[75, 11, 126, 19, 14]"
60,8601120978,"[109, 51, 74, 30, 129]","[7, 8, 103, 45, 26]"
61,8601120945,"[7, 48, 75, 51, 74]","[101, 36, 26, 46, 21]"
62,8601120829,"[137, 35, 41, 88, 22]","[23, 102, 39, 1, 40]"
63,8601120781,"[96, 21, 6, 39, 73]","[14, 40, 129, 72, 101]"
64,8601120771,"[53, 120, 45, 138, 30]","[25, 126, 63, 11, 31]"
65,8601120742,"[22, 52, 41, 100, 15]","[145, 19, 21, 1, 45]"
66,8601120693,"[86, 135, 53, 106, 30]","[46, 137, 110, 17, 128]"
67,8601120656,"[7, 37, 70, 106, 51]","[8, 68, 39, 119, 104]"
68,8601120651,"[40, 98, 70, 86, 93]","[49, 21, 31, 44, 68]"
69,8601120567,"[87, 21, 74, 8, 129]","[17, 65, 102, 110, 35]"
70,8601120502,"[69, 123, 71, 39, 70]","[26, 8, 101, 98, 34]"
71,8601120433,"[129, 44, 17, 7, 87]","[42, 14, 96, 92, 35]"
72,8601120376,"[94, 129, 26, 49, 112]","[72, 20, 100, 74, 102]"
73,8601120355,"[93, 62, 7, 89, 10]","[74, 98, 26, 14, 70]"
74,8601120345,"[53, 44, 52, 22, 102]","[70, 126, 64, 135, 40]"
75,8601120231,"[18, 40, 129, 39, 101]","[26, 2, 47, 64, 102]"
76,8601120217,"[32, 45, 14, 129, 8]","[21, 37, 7, 64, 114]"
77,8601120195,"[18, 9, 101, 11, 129]","[26, 28, 111, 43, 48]"
78,8601120186,"[14, 35, 98, 25, 67]","[40, 70, 100, 21, 64]"
79,8601120148,"[49, 70, 128, 47, 101]","[64, 76, 30, 14, 102]"
80,8601120145,"[36, 129, 88, 63, 128]","[93, 52, 27, 11, 7]"
81,8601120132,"[36, 69, 84, 11, 103]","[74, 7, 111, 85, 86]"
82,8601120102,"[101, 70, 87, 39, 104]","[42, 137, 9, 111, 56]"
83,8601120049,"[64, 63, 31, 15, 28]","[29, 35, 27, 75, 95]"
84,8601119972,"[70, 101, 60, 39, 5]","[2, 123, 45, 14, 49]"
85,8601119949,"[41, 40, 86, 83, 22]","[70, 79, 80, 14, 105]"
86,8601119941,"[27, 86, 107, 88, 2]","[84, 30, 21, 83, 44]"
